recipe_name,text,author,likes,ingredients,steps,query,collected_at
김치찌개,"오늘은 간단하게 김치찌개 만들어 먹었어요! 재료는 김치, 돼지고기, 두부, 양파, 마늘, 고춧가루, 다진 파, 그리고 국간장만 있으면 돼요. 냄비에 기름을 두르고 돼지고기를 볶다가 김치를 넣고 함께 볶아요. 물을 붓고 끓이다가 두부, 양파, 마늘을 넣고, 고춧가루와 국간장을 넣어 간을 맞춥니다. 마지막에 다진 파를 뿌려주면 완성!",@cook_kim,120,"김치, 돼지고기, 두부, 양파, 마늘, 고춧가루, 다진 파, 국간장","냄비에 기름을 두르고 돼지고기를 볶는다 | 김치를 넣고 함께 볶는다 | 물을 붓고 끓인다 | 두부, 양파, 마늘을 넣는다 | 고춧가루와 국간장을 넣어 간을 맞춘다 | 마지막에 다진 파를 뿌린다",한국 레시피 추천,2025-12-31T20:59:24.117647
된장찌개,"오늘 저녁 메뉴는 된장찌개! 재료는 된장, 두부, 애호박, 감자, 양파, 대파, 마늘, 고춧가루, 그리고 멸치육수입니다. 냄비에 멸치육수를 붓고 끓이다가 된장을 풀어줍니다. 두부, 애호박, 감자, 양파, 대파, 마늘을 넣고, 고춧가루로 맛을 더해줍니다. 다 끓으면 완성!",@foodie_lee,95,"된장, 두부, 애호박, 감자, 양파, 대파, 마늘, 고춧가루, 멸치육수","냄비에 멸치육수를 붓고 끓인다 | 된장을 풀어준다 | 두부, 애호박, 감자, 양파, 대파, 마늘을 넣는다 | 고춧가루로 맛을 더해준다 | 다 끓으면 완성",한국 레시피 추천,2025-12-31T20:59:24.117654
김치볶음밥,"자취생 필수 레시피! 간단한 김치볶음밥 만들기! 재료: 김치, 밥, 참기름, 간장. 1. 김치를 잘게 썬다. 2. 팬에 참기름을 두르고 김치를 볶는다. 3. 밥을 넣고 잘 섞는다. 4. 간장으로 간을 맞춘다. 완성!",@cookingeasy,523,"김치, 밥, 참기름, 간장",김치를 잘게 썬다. | 팬에 참기름을 두르고 김치를 볶는다. | 밥을 넣고 잘 섞는다. | 간장으로 간을 맞춘다.,자취 요리 레시피,2025-12-31T20:59:35.962804
계란말이,"자취방에서 쉽게 만들 수 있는 계란말이! 재료: 계란, 소금, 대파. 1. 계란을 풀고 소금을 넣어 간을 맞춘다. 2. 대파를 썰어 계란물에 넣는다. 3. 팬에 기름을 두르고 계란물을 부어가며 말아준다. 완성!",@easylunch,345,"계란, 소금, 대파",계란을 풀고 소금을 넣어 간을 맞춘다. | 대파를 썰어 계란물에 넣는다. | 팬에 기름을 두르고 계란물을 부어가며 말아준다.,자취 요리 레시피,2025-12-31T20:59:35.962811
토마토 파스타,"자취생을 위한 간단한 토마토 파스타! 재료: 스파게티, 토마토소스, 마늘, 올리브오일. 1. 스파게티를 삶는다. 2. 팬에 올리브오일을 두르고 마늘을 볶는다. 3. 토마토소스를 넣고 끓인다. 4. 삶은 스파게티를 넣고 잘 섞는다. 완성!",@pastalover,456,"스파게티, 토마토소스, 마늘, 올리브오일",스파게티를 삶는다. | 팬에 올리브오일을 두르고 마늘을 볶는다. | 토마토소스를 넣고 끓인다. | 삶은 스파게티를 넣고 잘 섞는다.,자취 요리 레시피,2025-12-31T20:59:35.962813
두부조림,"자취방에서도 맛있게! 간단한 두부조림! 재료: 두부, 간장, 물, 대파, 고추. 1. 두부를 먹기 좋은 크기로 자른다. 2. 팬에 간장과 물을 넣고 끓인다. 3. 두부를 넣고 조린다. 4. 대파와 고추를 넣고 마무리. 완성!",@tofulover,298,"두부, 간장, 물, 대파, 고추",두부를 먹기 좋은 크기로 자른다. | 팬에 간장과 물을 넣고 끓인다. | 두부를 넣고 조린다. | 대파와 고추를 넣고 마무리.,자취 요리 레시피,2025-12-31T20:59:35.962814
참치김치찌개,"자취생 필수! 간단한 참치김치찌개! 재료: 김치, 참치캔, 물, 두부, 대파. 1. 김치를 썰어 냄비에 넣는다. 2. 물을 붓고 끓인다. 3. 참치캔을 넣고 잘 섞는다. 4. 두부를 넣고 끓인다. 5. 대파를 넣고 마무리. 완성!",@koreanfoodie,678,"김치, 참치캔, 물, 두부, 대파",김치를 썰어 냄비에 넣는다. | 물을 붓고 끓인다. | 참치캔을 넣고 잘 섞는다. | 두부를 넣고 끓인다. | 대파를 넣고 마무리.,자취 요리 레시피,2025-12-31T20:59:35.962818
김치찌개,"김치찌개 만드는 법! 김치 300g, 돼지고기 200g, 두부 1/2모, 양파 1/2개, 마늘 3쪽, 고춧가루 1큰술, 국간장 2큰술, 물 3컵을 준비해요. 냄비에 기름을 두르고 돼지고기를 볶다가 김치를 넣고 함께 볶아요. 물을 붓고 끓이다가 두부, 양파, 마늘을 넣고 15분 정도 더 끓이면 완성!",@cook_master,567,"김치 300g, 돼지고기 200g, 두부 1/2모, 양파 1/2개, 마늘 3쪽, 고춧가루 1큰술, 국간장 2큰술, 물 3컵","냄비에 기름을 두르고 돼지고기를 볶는다 | 김치를 넣고 함께 볶는다 | 물을 붓고 끓인다 | 두부, 양파, 마늘을 넣고 15분 정도 더 끓인다",찌개 만드는 법,2025-12-31T20:59:44.969937
된장찌개,"된장찌개 만들기! 된장 3큰술, 두부 1/2모, 감자 1개, 양파 1/2개, 애호박 1/4개, 마늘 2쪽, 물 4컵을 준비해요. 냄비에 물을 붓고 된장을 풀어요. 감자, 양파, 애호박, 마늘을 넣고 끓이다가 두부를 넣고 10분 정도 더 끓이면 완성!",@home_chef,321,"된장 3큰술, 두부 1/2모, 감자 1개, 양파 1/2개, 애호박 1/4개, 마늘 2쪽, 물 4컵","냄비에 물을 붓고 된장을 푼다 | 감자, 양파, 애호박, 마늘을 넣고 끓인다 | 두부를 넣고 10분 정도 더 끓인다",찌개 만드는 법,2025-12-31T20:59:44.969947
볶음밥,"볶음밥 만들기! 재료: 밥 2공기, 햄 100g, 당근 1/2개, 양파 1/2개, 대파 1대, 간장 2큰술, 참기름 1큰술. 방법: 1. 모든 재료를 다져서 준비. 2. 팬에 기름을 두르고 햄과 채소를 볶다가 밥을 넣고 간장, 참기름을 넣어 볶는다. 3. 완성!",@cookinglover,150,"밥 2공기, 햄 100g, 당근 1/2개, 양파 1/2개, 대파 1대, 간장 2큰술, 참기름 1큰술","모든 재료를 다져서 준비 | 팬에 기름을 두르고 햄과 채소를 볶다가 밥을 넣고 간장, 참기름을 넣어 볶는다 | 완성",볶음밥 만들기,2025-12-31T20:59:52.164083
